acceptedNameUsageID,Scientific name,Depth0_Top,Depth0_Bottom,Depth0_midPoint,Depth1_Top,Depth1_Bottom,Depth1_midPoint,Lat0_Top,Lat0_Bottom,Lat0_midPoint,Lon0_Top,Lon0_Bottom,Lon0_midPoint,common size0_Top,common size0_Bottom,common size0_midPoint,max size0_Top,max size0_Bottom,max size0_midPoint,Temperature0_Top,Temperature0_Bottom,Temperature0_midPoint,Lon1_Top,Lon1_Bottom,Lon1_midPoint,max size1_Top,max size1_Bottom,max size1_midPoint,Lat1_Top,Lat1_Bottom,Lat1_midPoint,Depth2_Top,Depth2_Bottom,Depth2_midPoint,Temperature1_Top,Temperature1_Bottom,Temperature1_midPoint,Depth3_Top,Depth3_Bottom,Depth3_midPoint,max size2_Top,max size2_Bottom,max size2_midPoint,common size1_Top,common size1_Bottom,common size1_midPoint,common size2_Top,common size2_Bottom,common size2_midPoint,max size3_Top,max size3_Bottom,max size3_midPoint,spawning temperature0_Top,spawning temperature0_Bottom,spawning temperature0_midPoint,spawning temperature1_Top,spawning temperature1_Bottom,spawning temperature1_midPoint,spawning temperature2_Top,spawning temperature2_Bottom,spawning temperature2_midPoint,common size3_Top,common size3_Bottom,common size3_midPoint,common size4_Top,common size4_Bottom,common size4_midPoint,common size5_Top,common size5_Bottom,common size5_midPoint,spawning temparature0_Top,spawning temparature0_Bottom,spawning temparature0_midPoint,temperature0_Top,temperature0_Bottom,temperature0_midPoint,max size4_Top,max size4_Bottom,max size4_midPoint,max size5_Top,max size5_Bottom,max size5_midPoint
105797,Carcharhinus plumbeus,0,280,,20,65,,-41,45,,-180,180,,,,200,,,300,23,27,,,,,,,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105798,Carcharhinus signatus,0,600,,50,100,,-43,39,,-98,15,,,,200,,,280,11,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105799,Galeocerdo cuvier,0,100,,0,1136,,-36,40,,-180,180,,,,500,,,750,,,,,,,,,,-44,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105800,Negaprion brevirostris,0,92,,,,,-33,45,,-114,14,,,,240,340,368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105801,Prionace glauca,1,220,,1,1082,,-55,70,,-180,180,,,,335,,,400,7,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105802,Rhizoprionodon acutus,,,,,,,-30,41,,-27,156,,,,110,,,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105803,Paragaleus pectoralis,30,70,,0,100,,?,30,,,,,,,100,,,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105816,Sphyrna lewini,0,1043,,0,25,,-39,46,,-180,180,,,,360,,,430,,,,,,,,,,,,,0,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105817,Sphyrna mokarran,0,300,,1,100,,-37,40,,-180,180,,?,400,370,400,610,550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105819,Sphyrna zygaena,0,200,,0,20,,-55,59,,-180,180,,,,335,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105820,Galeorhinus galeus,0,200,,0,826,,-58,70,,-180,37,,,,160,,,193,,,,111,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105822,Mustelus mustelus,5,624,,5,50,,-34,58,,-19,36,,,,100,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105832,Heptranchias perlo,27,720,,0,1000,,-58,58,,-180,-173,,,,100,,,137,,,,-98,180,,,,,,,,180,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105833,Hexanchus griseus,180,1100,,1,2500,,-48,65,,-180,180,,,,300,,,600,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105835,Alopias superciliosus,0,955,,0,100,,-40,46,,-180,180,,,,350,,,488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105836,Alopias vulpinus,0,650,,0,200,,-58,74,,-180,180,,,,450,,,573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105837,Cetorhinus maximus,0,1264,,0,2000,,-58,75,,-180,42,,,,700,,,1520,8,16,,111,180,,,,,,,,,,,6,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105838,Carcharodon carcharias,0,1200,,0,250,,-58,61,,-180,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105839,Isurus oxyrinchus,100,150,,0,888,,-54,65,,-180,180,,,,270,,,445,16,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105840,Isurus paucus,0,1752,,,,,-38,46,,-180,180,,,,200,,,427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105841,Lamna nasus,0,1809,,0,300,,-59,76,,-180,180,,,,244,,,350,5,10,,,,,,,,,,,,,,-1,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105843,Carcharias taurus,0,232,,15,25,,-48,45,,-100,155,,,,250,,,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105844,Odontaspis ferox,10,2000,,13,880,,-49,50,,-180,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105845,Odontaspis noronhai,35,1000,,,,,-34,31,,-163,-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105846,Ginglymostoma cirratum,0,130,,1,35,,-35,44,,-122,10,,,,304,,,430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105847,Rhincodon typus,0,100,,0,1928,,-48,45,,-180,180,,,,1000,,,1700,26.5,30,,,,,,,,,,,,,,18,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105858,Mobula japanica,0,200,,0,647,,-30,40,,,,,,,225,,,310,,,,,,,,,,13,53,,0,50,,,,,0,1112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105859,Mobula tarapacana,0,1896,,0,20,,-37,50,,-180,180,,,,250,,,328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105860,Myliobatis aquila,0,537,,1,95,,-36,60,,-32,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105899,Centrophorus granulosus,300,1100,,50,1500,,-43,58,,-98,156,,,,,,,,,,,,,,,,,,,,200,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105901,Centrophorus squamosus,0,200,mostly,0,3366,,-54,69,,-180,-176,,,,,,,,,,,-92,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105902,Centrophorus uyato,400,800,,50,1400,,-43,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105907,Centroscymnus coelolepis,400,3675,mostly,128,3675,,-61,75,,-180,-147,,,,92,,,121,5,13,,-98,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105910,Dalatias licha,37,1800,,300,600,,-56,72,,-180,-153,,,,,,,,,,,-98,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105918,Scymnodon ringens,200,1600,,,,,-54,61,,-180,-172,,,,,?,,110,,,,-18,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105919,Somniosus microcephalus,0,2647,,180,550,,27,83,,-95,61,,,,,,,,-1.8,17.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105921,Squaliolus laticaudus,60,750,,10,1800,,-40,48,,-180,180,,,,,?,,27.5,,,,,,,?,,25,,,,,,,,,,,,,?,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105923,Squalus acanthias,0,1978,,50,300,,-57,78,,-180,-171,,,,100,,,160,7,15,,-82,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126292,Nessorhamphus ingolfianus,0,1800,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126305,Nemichthys curvirostris,0,4400,,0,2000,,-40,40,,-180,180,,,,,,,143,,,,,,,,,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126306,Nemichthys scolopaceus,100,1000,,0,3656,,-42,55,,-180,180,,,,,,,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126332,Alepisaurus brevirostris,640,1591,,,,,-72,68,,-180,180,,,,70,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126333,Alepisaurus ferox,0,1830,,,,,-57,84,,-180,180,,,,150,,,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126349,Scopelosaurus lepidus,500,800,,70,2500,,-18,71,,-81,15,,,,35,,,36.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126350,Scopelosaurus smithii,500,?,,50,815,,-30,40,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126361,Paralepis coregonoides,50,1032,,50,600,,30,65,,-77,21,,,,,,,29,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126367,Scopelarchus analis,0,820,,200,1500,,,,,,,,,,,,,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126368,Scopelarchus michaelsarsi,250,500,,,,,-37,30,,-180,-150,,,,,,,10.1,,,,-85,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126375,Belone belone,0,20,,,,,14,65,,-32,42,,,,45,,,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126378,Tylosurus acus,0,20,,,,,?,43,,-98,36,,,,90,95,129,,,,,,,,,,153,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126385,Exocoetus volitans,0,20,,,,,-36,44,,-180,180,,,,20,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126387,Hirundichthys speculiger,0,20,,,,,-36,42,,-180,180,,,,,,,25.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126392,Scomberesox saurus,0,30,,,,,-22,66,,-98,36,,,,32,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126393,Anoplogaster cornuta,500,2000,,2,4992,,-46,65,,-180,180,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126404,Hoplostethus mediterraneus,100,1408,,,,,-78,68,,-98,180,,,,20,,,42,,,,-180,-167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126407,Ditropichthys storeri,1000,2000,,650,3400,,-43,45,,,,,,,,,,12.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126412,Rondeletia loricata,200,1400,,100,3500,,-40,45,,-180,180,,,,9,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126421,Sardina pilchardus,10,35,,25,100,,14,68,,-32,43,,,,27.5,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126422,Sardinella aurita,0,350,,,,,-40,47,,-98,43,,,,25,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126423,Sardinella maderensis,0,80,,,,,-23,46,,-17,36,,20,25,,,,30,,,,,,,,,32,,,,,,,,,,,,,,,,,,25,,,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126425,Sprattus sprattus,10,150,,,,,30,60,,-11,42,,,,12,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126439,Micromesistius poutassou,300,400,,150,3000,,26,79,,-82,51,,,,22,,,55.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126444,Trisopterus esmarkii,100,200,,50,300,,48,79,,-27,30,,,,19,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126473,Nezumia aequalis,200,2320,,200,1000,,-12,70,,-98,30,,,,25,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126482,Trachyrincus scabrus,400,1500,,,,,-27,55,,-26,36,,,,,,,50,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126484,Merluccius merluccius,70,370,,30,1075,,18,76,,-30,42,,,,45,,,100,,,,,,,,,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126486,Antimora rostrata,1300,2500,,350,3000,,-68,70,,-180,180,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126497,Mora moro,450,2500,,50,2500,,-51,64,,-180,-174,,,,45,,,80,,,,-77,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126522,Lampris guttatus,100,400,Day,50,150,Night,-60,75,,-180,180,,,,120,,,200,8,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126524,Radiicephalus elongatus,,,,,,,-40,38,,-180,180,,60,75,,,,80,,,,-130,20,,,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126525,Regalecus glesne,15,1000,,20,200,,15,72,,-180,180,,,,300,,,800,,,,,,,,,,-52,-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126526,Stylephorus chordatus,625,800,,300,600,,-37,45,,-130,20,,,,,,,32,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126527,Trachipterus arcticus,100,900,,300,600,,25,72,,-62,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126528,Trachipterus trachypterus,200,1355,,100,600,,-48,45,,-180,-153,,,,,,,,,,,-76,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126537,Ceratias holboelli,400,4400,,400,2000,,-45,67,,-180,180,,,,77,,,16,,,,,,,,,120,,,,,,,,,,,,,,,16,,,77,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126538,Cryptopsaras couesii,500,1250,,0,3085,,-52,81,,-180,180,,,,1.05,,,44,,,,,,,,,7.3,,,,,,,,,,,,,,,7.3,,,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126566,Leptacanthichthys gracilispinis,0,2000,,,,,,,,,,,,,,6.9,10.3,,,,,,,,?,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126581,Benthosema suborbitale,0,125,Night,375,750,Day,-50,50,,-180,180,,,,,,,3.9,,,,,,,,,,,,,50,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126582,Bolinichthys indicus,25,300,Night,500,900,Day,-45,-20,Indian Ocean,,,,,,,,,4.6,,,,,,,,,,?,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126583,Bolinichthys supralateralis,40,650,Night,375,750,Day,-40,45,,-169,-153,,,,,,,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126584,Centrobranchus nigroocellatus,0,200,Night,375,650,Day,-45,40,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126585,Ceratoscopelus maderensis,51,250,Night,650,700,Day,20,50,,,,,,,,,,8.1,,,,,,,,,,,,,51,1480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126589,Diaphus brachycephalus,0,225,Night,175,550,Day,-33,42,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126590,Diaphus dumerilii,0,50,Night,225,750,Day,-45,51,,,,,,,,,,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126594,Diaphus metopoclampus,375,850,Day,90,1085,,-55,49,,-180,-153,,,,,,,7.5,,,,-67,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126599,Diogenichthys atlanticus,18,1050,Night,400,930,Day,-48,50,,-180,-109,,,,,,,2.9,,,,-82,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126603,Hygophum hygomii,0,300,Night,600,800,Day,-40,46,,,,,,,,,,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126607,Lampadena chavesi,0,175,Night,600,800,Day,-33,-26,Atlantic ,,,,,,,,,8,,,,,,,,,,26,41,Atlantic ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126612,Lampanyctus crocodilus,0,1200,,700,800,Day,16,72,,-82,36,,,,8,,,14.8,,,,,,,,,30,,,,45,150,Night,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126614,Lampanyctus festivus,40,1052,,,,,-56,50,,-180,180,,,,,,,13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126616,Nannobrachium lineatum,60,225,Night,650,1000,Day,-27,42,,-180,-153,,,,,,,23.7,,,,-82,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126625,Loweina rara,0,175,Night,550,1050,Day,-30,46,,,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126626,Myctophum nitidulum,0,5,Night,475,850,Day,-34,42,,-180,-117,,,,,,,8.3,,,,112,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126627,Myctophum punctatum,225,750,Day,0,125,Night,15,69,,-67,36,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126629,Notolychnus valdiviae,25,350,Night,375,700,Day,-40,56,,-180,180,,,,,,,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126632,Taaningichthys minimus,50,500,,600,800,,-30,-18,,-180,21,,,,,,,6.5,,,,131,180,,,,,14,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126715,Argentina silus,182.8,255.9,,140,1440,,42,80,,-71,31,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126733,Opisthoproctus soleatus,500,700,,300,4000,,?,51,,,,,,,,,,11,,,,,,,,,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126734,Rhynchohyalus natalensis,250,625,,,,,-49,35,,-180,-154,,,,,,,16,,,,-89,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126735,Mallotus villosus,0,725,,,,,37,84,,-180,180,,,,15,,,25.2,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126757,Anarhichas denticulatus,100,900,,60,1700,,43,81,,-123,61,,,,,,,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126783,Brama brama,0,1000,,0,200,,-35,30,,-180,180,,,,40,,,100,12,24,,,,,,,,-70,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126785,Pterycombus brama,25,400,,,,,-1,67,,-98,36,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126786,Taractes asper,0,1000,,1,140,,-40,70,,-180,180,,,,,,,,,,,,,,,,,-35,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
