acceptedNameUsageID,Scientific name,Test_dat,Family_ID,Genus_ID,DDepth_Top,DDepth_Bottom,DDepth_midPoint,NDepth_Top,NDepth_Bottom,NDepth_midPoint,Lat_Top,Lat_Bottom,Lat_no_top,Lat_no_bottom,Lon0_Top,Lon0_Bottom,Lon1_Top,Lon1_Bottom,Mat_M,Max_M,Av_M,Mat/Max_M,Mat_F,Max_F,Av_F,Mat/Max_F,Com/Mat_F,Generation_top,Generation_bottom,Generation_mid,Max_age_top,Max_age_bottom,Mature_age,Temperature_Top,Temperature_Bottom,Temperature_midPoint,Behavior_bottom,Behavior_top,Behavior_Average,Migration_Average,Depth_bottom,Depth_top,Depth_Average,Diel vertical migration,Food_Bottom,Food_Top,Food_Average,Habitat0_Bottom,Habitat0_Top,Habitat0_Average,Salinity0_Bottom,Salinity0_Top,Salinity0_Average,Temperature0_Top,Temperature0_Bottom,Temperature0_midPoint,Aggregation0_Top,Aggregation0_Average,Aggregation0_# records,Associate0_Average,Associate_Floating object,Associate_Large pelagics,Associate_Vegetatation,Associate_Coral,Associate_Floating object,Associate_Large pelagics/ship,Breeding_cycle,Breeding_relation,Reproduction,Egg&larvae,Distribution,Occurrence,Commercial importance,ICCAT Fisheries,LL,PS,Others,,IUCN,Stock status
105817,Sphyrna mokarran,Y,105694,105730,0,300,50.5,0,300,50.5,-37,40,,,-180,180,,,247,610,370,0.40,255,610,370,0.42,1.45,,,,,,8.1,,,,2,3,2.5,4,,,,,2,3.6,2.976923077,1.3,3,2.142857143,1,2,1.5,2,3,2.5,,,,,,,,,,,,,1.5,,,,4,Y,Y,Y,Y,3.5,5,2
105819,Sphyrna zygaena,Y,105694,105730,0,200,10,0,20,10,-55,59,,,-180,180,,,255,400,335,0.64,256,400,335,0.64,1.31,15,35,24.1,,,7.4,,,,2,3,2.5,3,,,,,1.4,3.6,2.83,1.3,3,2.142857143,1,2,1.5,2,3,2.533333333,4,4,4,,,,,,,,,,1,,,,4,Y,Y,Y,Y,2.5,3,2
105820,Galeorhinus galeus,Y,105695,105731,0,826,100,0,826,100,-58,70,,,-180,37,111,180,139,193,160,0.72,152,195,160,0.78,1.05,,,26.3,40,60,12.5,,,,1,3,2,3,,,,Y,1.4,3,2.21,1.3,3,2.3125,2,2,2,2,2.6,2.3,3,3,3,,,,,,,,2,,2,,,,4,Y,Y,,,3.5,5,2
105822,Mustelus mustelus,Y,105695,105732,5,624,27.5,5,624,27.5,-34,58,,,-19,36,,,91,200,100,0.46,116,176,100,0.66,0.86,,,17.8,,,13.5,,,,1,2,1.5,,1,3,2,,2,3,2.5,2,2.5,2.25,2,2,2,2,2,2,,,,,,,,,,,,,1,,,,4,Y,Y,,Y,3,4,2
105832,Heptranchias perlo,Y,105699,105738,0,1000,373.5,0,1000,373.5,-58,58,,,-180,-173,-98,180,75,137,100,0.55,88,140,100,0.63,1.14,,,13.5,,,,,,,1.2,2,1.6,,4,4,4,,2,3.6,2.775,2,3,2.366666667,2,2,2,2,3,2.533333333,,,,,,,,,,,,,2,,,3,,Y,Y,y,y,2,2,2
105833,Hexanchus griseus,Y,105699,105739,1,2500,640,1,2500,640,-48,65,,,-180,180,,,320,600,300,0.53,385,550,300,0.70,0.78,,,53,,,,6,10,8,1,3,1.733333333,4,4,4,4,Y,2,3.6,2.775,1.3,2.8,2.3,2,2,2,1.3,3,2.225,,,,,,,,,,,,,2,,,3,,Y,Y,,,1.666666667,2,1.333333333
105835,Alopias superciliosus,Y,105700,105740,0,955,50,0,955,50,-40,46,,,-180,180,,,273,488,350,0.56,319,484,350,0.66,1.10,,,18.5,,,12,,,,2.8,3.2,3,4,1,3,2,,2.5,3,2.75,1.3,3,2.075,2,2,2,2,3,2.533333333,,,,,,,,,,,3,,2,,,,4,Y,Y,Y,Y,2.5,3,2
105836,Alopias vulpinus,Y,105700,105740,0,650,100,0,650,100,-58,74,,,-180,180,,,340,573,450,0.59,363,549,450,0.66,1.24,,,25.5,,,10,,,,3,3.2,3.1,4,2,2,2,,2,5,3.125,1.3,3,2.1,2,2,2,2,3,2.533333333,,,,,,,,,,,2,,2,,,,4,Y,Y,,Y,2.5,3,2
105837,Cetorhinus maximus,Y,105701,105741,0,1264,632,0,1264,632,-58,75,,,-180,42,111,180,575,1520,700,0.38,835,1973,980,0.42,1.17,,,34,,,18,6,24,13.5,2.8,3.2,3,4,2,3,2.5,,1.8,1.8,1.8,1.3,3,2.083333333,2,2,2,1.3,3,2.1,1,4,2.5,,,,,,,,,,2,,,,,Y,Y,,,3,4,2
105838,Carcharodon carcharias,Y,105702,105742,0,1200,125,0,1200,125,-58,61,,,-180,180,,,360,640,,0.56,450,640,,0.70,,29.5,53,53,18,73,11.3,,,,3,3,3,3,,,,,2,5,3.22,1,3,2.0625,1,2,1.5,2,3,2.533333333,1,3,2,,,,,,,,2,,2,,,,4,Y,Y,Y,Y,2.5,3,2
105839,Isurus oxyrinchus,Y,105702,105743,0,888,75,0,888,75,-54,65,,,-180,180,,,185,445,270,0.42,289,445,270,0.65,0.93,24,25,24.5,28,32,19.5,16,16,16,2.8,3.2,3,3,2,3,2.333333333,,2,3.6,2.775,1.3,3,2.1,2,2,2,2,3,2.533333333,,,,,,,,,,,2,,2,,,,4,Y,Y,Y,Y,2.875,4,1.75
105840,Isurus paucus,Y,105702,105743,0,1752,876,0,1752,876,-38,46,,,-180,180,,,235,427,200,0.55,235,417,200,0.56,0.85,,,25,,,,,,,2.5,3.2,2.875,3,2,4,3,,2.5,3,2.75,3,3,3,2,2,2,2,3,2.533333333,,,,,,,,,,,,,1.75,,,,4,Y,Y,,Y,3,4,2
105841,Lamna nasus,Y,105702,105744,0,1809,150,0,1809,150,-59,76,,,-180,180,,,156,350,244,0.45,196,357,244,0.55,1.24,19.5,38.3,28.9,29,72,9,-1,23,9.25,3,3,3,3,,,,,2.5,3.6,3.033333333,1.3,3,2.185714286,2,2,2,1.3,2,1.633333333,1,4,2.5,,,,,,,,3,,2,,,,4,Y,Y,,Y,2.5,3,2
105843,Carcharias taurus,Y,105704,105746,0,232,20,0,232,20,-48,45,,,-100,155,,,195,330,250,0.59,228,325,250,0.70,1.10,,,24.8,40,42,8.175,,,,1,3.2,2.3,3,1,2,1.5,,2,3.6,2.775,1.3,2,1.7,2,2,2,2,3,2.533333333,1,4,2.666666667,1.5,1.5,1.50,,Y,,,2,,1.75,,,,,Y,Y,,,3.25,5,1.5
105844,Odontaspis ferox,Y,105704,105747,10,880,445,10,880,445,-49,50,,,-180,180,,,225,344,,0.65,325,344,450,0.94,1.38,,,20.5,,,,,,,2,2,2,,1,1,1,,2,3,2.5,2,2.8,2.333333333,2,2,2,2.6,3,2.8,,,,,,,,,,,,,2,,,2,,Y,Y,,Y,2.5,3,2
105845,Odontaspis noronhai,Y,105704,105747,35,1000,517.5,35,1000,517.5,-34,31,,,-163,-27,,,280,367,,0.76,326,367,427,0.89,1.31,,,,,,,,,,3,3,3,,,,,,,,,2.2,3,2.566666667,2,2,2,3,3,3,,,,,,,,,,,,,2,,,2,,Y,Y,,,1,1,
105846,Ginglymostoma cirratum,Y,105705,105748,0,130,18,0,130,18,-35,44,,,-122,10,,,210,430,304,0.49,235,308,304,0.76,1.29,,,30,,,,,,,1.7,1.7,1.7,,1,1,1,,1.4,3.6,2.666666667,1.2,2.2,1.577777778,1,2,1.5,2.6,3,2.8,1,3,2,1,1.5,1.25,Y,Y,,,2,,1.5,,,,4,Y,Y,,Y,2.5,3,2
105847,Rhincodon typus,Y,105706,105749,0,1928,50,0,1928,50,-48,45,,,-180,180,,,810,1700,1000,0.48,930,2000,1000,0.47,1.08,,,25,30,30,20.5,18,30,26.125,3,3.2,3.1,3.5,2,2,2,,1.8,3,2.3,1,3,1.8,2,2,2,2,3,2.533333333,1,4,3,1.5,3,2.25,,Y,,Y,,,2,,,,4,Y,,Y,,3,4,2
105858,Mobula mobular,Y,105710,105756,0,647,100,0,647,100,-30,53,,,,,,,210,350,237,0.60,228,240,237,0.95,1.04,,,12.8,20,20,5.5,,,,3,3.2,3.066666667,3,2,2,2,,1.8,3.2,2.285714286,1.3,3,2.055555556,2,2,2,2,3,2.55,1,3,2,1.5,1.5,1.50,,Y,,,2.5,,2,,,3.5,4,Y,Y,Y,,2.5,3,2
105859,Mobula tarapacana,Y,105710,105756,0,1896,10,0,1896,10,-37,50,,,-180,180,,,275,370,250,0.74,224,305,250,0.73,1.12,,,12.8,,,,,,,,,3,3,,,,,1.8,3.2,2.5,1.5,3,2.166666667,2,2,2,3,3,3,1,3,2,1.5,1.5,1.50,,Y,,,2.5,,2,,,,4,Y,,Y,,3,4,2
105860,Myliobatis aquila,Y,105710,105757,0,537,48,0,537,48,-36,60,,,-32,58,,,36,183,,0.20,52,150,,0.35,,,,12,,,,,,,2,2,2,,,,,,1.4,3,1.825,1,3,1.883333333,1,2,1.5,2.6,2.6,2.6,3,3,3,,,,,,,,,,1.5,,,,4,Y,,Y,,3.5,5,2
105899,Centrophorus granulosus,Y,105713,105770,98,1500,400,98,1500,400,-43,58,,,-98,156,,,111,176,,0.63,143,146,,0.98,,,,27.75,,,,,,,1,2,1.475,,4,4,4,,2,3,2.5,2,2.5,2.3,2,2,2,,,,1,1,1,,,,,,,,,,2,,,,4,Y,Y,,Y,3,4,2
105901,Centrophorus squamosus,Y,105713,105770,0,3366,100,0,3366,100,-54,69,,,-180,-176,-92,180,105,166,,0.63,118,166,,0.71,,31.4,52.5,52.5,30,70,32.4,,,,1,3,1.8,,4,4,4,,2.5,3,2.75,2,3,2.44,2,2,2,,,,,,,,,,,,,,,,2,,,,4,Y,Y,,,3,4,2
105902,Centrophorus uyato,Y,105713,105770,50,1400,600,50,1400,600,-43,43,,,,,,,96,128,,0.75,80,110,,0.73,,,,60,,,,,,,1,1.2,1.1,,4,4,4,,2.5,3,2.75,2,3,2.5,2,2,2,,,,,,,,,,,,,,,,2,,,,4,Y,Y,,,3,4,2
105907,Centroscymnus coelolepis,Y,267047,105773,128,3675,2037.5,128,3675,2037.5,-61,75,,,-180,-147,-98,180,89,121,92,0.74,102,137,92,0.74,0.90,,,37,,,,5,13,9,1,1.2,1.1,,4,4,4,,1.5,4,2.92,2.5,2.5,2.5,2,2,2,,,,,,,,,,,,,,,,2,,,,4,Y,Y,,,2,2,2
105910,Dalatias licha,Y,105714,105774,37,1800,450,37,1800,450,-56,72,,,-180,-153,-98,180,100,182,,0.55,120,182,,0.66,,,,29,30,30,18.5,,,,1,3,2,,3,4,3.666666667,,0.2,3.6,2.642857143,2,3,2.366666667,2,2,2,,,,1,3,2,,,,,,,,,,1.75,,,4,2,Y,Y,,,2.5,3,2
105916,Scymnodalatias garricki,,267047,105777,,,,,,,,,,,,,,,,41,,,,41,,,,,,,,,,,,,2,2.5,2.25,,4,4,4,,,,,2.5,2.8,2.65,2,2,2,,,,,,,,,,,,,,,2,2,,,2,4,,,,,0,0,
105918,Scymnodon ringens,Y,267047,105778,200,1600,1000,200,1600,1000,-54,61,,,-180,-172,-18,180,,110,,,,110,,,,,,37,,,,,,,2,2.8,2.433333333,,3,4,3.666666667,,,,,2.5,2.5,2.5,2,2,2,,,,,,,2.8,2.8,2.80,,,,,,2,2,,,2,,Y,,,,2.5,3,2
105919,Somniosus microcephalus,Y,267047,105779,0,2647,400,0,2647,400,27,83,,,-95,61,,,244,427,244,0.57,244,555,244,0.44,1.00,50,70,150,272,400,150,-1.8,17.2,7.7,1,3.2,2.4,3,1,4,2.2,,1.4,5,2.728571429,1,3,2.0625,1,2,1.5,1,1.3,1.15,,,,,,,,,,,2,,1.75,,,,,Y,Y,,,2.5,3,2
105921,Squaliolus laticaudus,Y,105714,105780,10,1800,405,10,1800,405,-40,48,,,-180,180,,,15,22,,0.68,18.5,26,,0.71,,,,,,,,,,,2.5,3.2,2.833333333,2.5,2,4,3,Y,2.6,3.2,3.05,2,3,2.44,2,2,2,3,3,3,,,,,,,,,,,,,2,,4,4,2,Y,,,,1,1,1
105923,Squalus acanthias,Y,105716,105782,0,1978,175,0,1978,175,-57,78,,,-180,-171,-82,180,76,180,100,0.42,93,122,100,0.76,1.08,,,17,20,50,8.5,7,15,11,1,3,2,4,2,2,2,,1.4,3.2,2.325,1,3,2.15,0,2,1,1,2,1.5,,,,,,,,,,,,,2,,,,4,Y,Y,,,2.5,3,2
126291,Derichthys serpentinus,,125428,125629,,,,,,,,,,,,,,,,40,,,,40,,,,,,,,,,,,,2.5,3.2,2.875,,2,4,3,,2,3.2,2.466666667,2.5,3,2.75,2,2,2,2,3,2.5,1,1,1,,,,,,,,,,3,1,6,3.5,2,,,,,2,1,3
126292,Nessorhamphus ingolfianus,Y,125428,125630,0,1800,900,0,1800,900,,,,,,,,,,60,,,,60,,,,,,,,,,,,,2.5,2.8,2.65,,3,4,3.5,,2,2,2,3,3,3,2,2,2,2,2.6,2.366666667,,,,,,,,,,,,4,3,1,6,4.5,1.5,,,,,1,1,
126305,Nemichthys curvirostris,Y,125432,125639,0,4400,1000,0,4400,1000,-40,40,,,-180,180,,,,143,,,,143,,,,,,,,,,,,,2.5,2.5,2.5,2,4,4,4,Y,2,2,2,3,3,3,2,2,2,2,3,2.5,,,,,,,,,,,,,3,,6,4.25,,,,,,1,1,
126306,Nemichthys scolopaceus,Y,125432,125639,0,3656,550,0,3656,550,-42,55,,,-180,180,,,,130,,,,130,,,,,,,,,,,,,2.5,3,2.766666667,2.5,3,4,3.666666667,Y,2,2.2,2.066666667,3,3,3,2,2,2,2,3,2.5,,,,,,,,,,,1,,3,1,6,3,1.5,,,,,1,1,
126319,Serrivomer beani,,125435,125650,0,6000,2000,0,6000,2000,-59,82,,,,,,,,78,,,,78,,,,,,,,,,,,,1.7,3,2.4,2,4,4,4,Y,2,3.2,2.466666667,3,3,3,2,2,2,,,,,,,,,,,,,,,,,,,4,1,,,,,1,1,
126320,Serrivomer lanceolatoides,,125435,125650,,,,,,,,,,,,,,,,66,,,,66,,,,,,,,,,,,,2.5,3,2.75,1.5,4,4,4,N,2,2,2,2.5,2.5,2.5,2,2,2,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,
126332,Alepisaurus brevirostris,Y,125439,125661,640,1591,1115.5,640,1591,1115.5,-72,68,,,-180,180,,,,98,70,,,98,70,,,,,,,,,,,,2.5,3,2.75,,4,4,4,,2.2,3,2.466666667,2.8,3,2.9,2,2,2,2,3,2.5,,,,,,,,,,,,3,3,,,,,Y,Y,,,1,1,
126333,Alepisaurus ferox,Y,125439,125661,0,1830,915,0,1830,915,-57,84,,,-180,180,,,,215,150,,,215,150,,,,,,,,,,,,2.5,3.2,2.875,3,2,4,3.4,,1.4,3,2.225,1.3,3,2.15,2,2,2,1.3,3,2.3,,,,,,,,,,,,3,3,1,,,4,Y,Y,,,1,1,
126334,Anotopterus pharao,,125440,125662,0,5100,1900,0,5100,1900,-27,66,,,,,,,,146,96,,,146,96,,,,,,,,,,,,2.5,3.2,2.875,,2,4,3.25,,2.6,3.2,2.9,3,3,3,2,2,2,1.3,2.5,1.7,,,,,,,,,,,,,,,,3,2,,,,,1,1,
126337,Coccorella atlantica,,125443,125665,50,1000,390,50,1000,390,-8,30,,,,,,,,18.5,,,,18.5,,,,,,,,,,,,,2.5,3,2.766666667,3,3,4,3.5,,2.6,3,2.733333333,3,3,3,2,2,2,2,3,2.5,,,,,,,,,,,,3,,,,4,,,,,,1,1,
126338,Evermannella balbo,,125443,125666,100,1000,625,100,1000,625,-40,60,,,,,,,,16.9,,,,16.9,,,,,,,,,,,,,2.5,3,2.766666667,3,3,4,3.5,,3.2,3.2,3.2,3,3,3,2,2,2,,,,,,,,,,,,,,,,,,6,3,,,,,,1,1,
126340,Odontostomops normalops,,125443,125667,100,1000,500,100,1000,500,-5,5,,,,,,,,30,,,,30,,,,,,,,,,,,,,,,,3,4,3.5,,3,3.2,3.1,1.3,3,2.266666667,2,2,2,2.6,3,2.8,,,,,,,,,,,,3,,,6,3,,,,,,1,1,
126347,Ahliesaurus berryi,,125445,125671,0,2000,875,0,2000,875,-40,40,,,,,,,,26.9,,,,26.9,,,,,,,,,,,,,2.5,3,2.766666667,,3,4,3.666666667,,1.8,2,1.866666667,3,3,3,2,2,2,2.6,3,2.8,,,,,,,,,,,1,3,,,6,2,,,,,,1,1,
126348,Scopelosaurus argenteus,,125445,125672,100,600,350,100,600,350,0,46,,,,,,,,21.4,,,,21.4,,,,,,,,,,,,,1,2.8,1.933333333,,3,3,3,,1.4,2.2,1.85,2,3,2.3,2,2,2,2,3,2.533333333,,,,,,,,,,,,,,,,2,,,,,,1,1,
126349,Scopelosaurus lepidus,Y,125445,125672,70,2500,650,70,2500,650,,,,,-81,15,,,,12.3,,,,12.3,,,,,,,,,,,,,1,3,2.266666667,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
126349,Scopelosaurus lepidus,,125445,125672,70,2500,690,70,2500,690,-18,71,,,,,,,,36.4,35,,,36.4,35,,,,,,,,,,,,2,2.8,2.433333333,,3,4,3.5,,1.8,3.2,2.25,2,3,2.625,2,2,2,1.3,3,2.225,,,,,,,,,,,,,3,1,,,,,,,,1,1,
126350,Scopelosaurus smithii,Y,125445,125672,50,815,500,50,815,500,-30,40,,,,,,,,25,,,,25,,,,,,,,,,,,,2,2.8,2.4,3,3,4,3.5,,1.8,1.8,1.8,2.2,3,2.566666667,2,2,2,2,3,2.5,,,,,,,,,,,,,3,1,6,4,,,,,,1,1,
126352,Arctozenus risso,,125447,125674,0,2200,900,0,2200,900,-55,71,,,,,,,,30,25,,,30,25,,,,,,,,,,,,2.5,3.2,2.875,,2,4,3,,2.2,3,2.6,2.5,3,2.75,2,2,2,1,1,1,1,4,2.5,,,,,,,,,3,3,1,,4,2,,,,,1,1,
126353,Lestidiops affinis,,125447,125675,0,2000,1150,0,2000,1150,-23,40,,,,,,,,11,,,,11,,,,,,,,,,,,,2.5,3,2.766666667,,3,4,3.5,,,,,3,3,3,2,2,2,,,,,,,,,,,,,,,3,3,1,5,,,,,,,1,1,
126354,Lestidiops jayakari,,125447,125675,50,2000,740,50,2000,740,-49,46,,,,,,,,20,,,,20,,,,,,,,,,,,,2.5,3.2,2.875,,2,4,3,,,,,3,3,3,2,2,2,2.6,3,2.8,,,,,,,,,,,,3,3,1,,4,,,,,,1,1,
126355,Lestidiops sphyrenoides,,125447,125675,0,600,260,0,600,260,20,50,,,,,,,,27,,,,27,,,,,,,,,,,,,2.5,3.2,2.875,,2,4,3,,,,,3,3,3,2,2,2,,,,,,,,,,,,,,,,,,,4,1,,,,,1,1,
126356,Macroparalepis affinis,,125447,125676,0,2000,1100,0,2000,1100,,,,,,,,,,55,,,,55,,,,,,,,,,,,,2.5,3.2,2.9,,2,4,3,,2,3,2.5,3,3,3,2,2,2,2,2.5,2.25,,,,,,,,,,,,,,,,,,,,,,1,1,
126357,Macroparalepis brevis,,125447,125676,0,650,325,0,650,325,,,,,,,,,,13.5,,,,13.5,,,,,,,,,,,,,3,3,3,,4,4,4,,1.8,3.2,2.5,2,3,2.5,2,2,2,1,2.5,1.833333333,,,,,,,,,,,,,,,,,,,,,,1,1,
126358,Macroparalepis nigra,,125447,125676,100,700,400,100,700,400,,,,,,,,,,48,,,,48,,,,,,,,,,,,,2.5,3.2,2.875,,2,4,3,,,,,2.8,3,2.9,2,2,2,,,,,,,,,,,,,,,,,,,2.5,,,,,,1,1,
